# dictionary from http://www.esperanto-panorama.net/vortaro/eoen.htm
# Rimarkoj al: XGodivier"@"esperanto.org. (sen " ")
# Link to this page: Por fari ligon al tiu TTT-ejo:
# http://purl.org/net/panorama/vortaro/eoen.htm (unicode)
# http://purl.org/net/panorama/vortaro/xeoen.htm (x) 
        abako                          abacus
        acerba                         acerbic, acid, harsh, sour, tart
        acero                          maple, sycamore
        acetato                        acetate
        acetileno                      acetylene
        aceto                          acetic acid
        acetono                        acetone
        acida                          acid, sour, tart
        acida ĉerizo                   morello
        acidi                          be acid, be sour
        acidiĝi                        sour, grow sour, turn
        acido                          acid
        Acoroj                         Azores
        aĉetado                        acquisition, purchase
        aĉetaĵo                        purchase
        aĉetakiri                      acquire, buy, purchase
        aĉetanta regiono               market, outlet
        aĉetanto                       buyer, client, purchaser
        aĉetebla                       for sale
        aĉeti                          buy, purchase
        aĉeti aŭkcie                   buy at a public sale
        aĉeto                          purchase
        Adamo                          Adam
        adapti                         accommodate, adapt, adjust, fit
        adapti por orkestro            orchestrate, score
        adaptigo                       accommodation
        adaptiĝemo                     adaptability
        adaptiĝi                       accomodate oneself, adapt oneself
        adaptiĝo                       adaptation, adjustment
        adaptinto                      adaptor
        adaptita                       adapted
        adapto                         adaptation
        adapto por orkestro            orchestration
        adekvata                       adequate
        Adelaido                       Adelaide
        Adena Golfo                    Gulf of Aden
        Adeno                          Aden
        adepto                         adept, supporter
        adhero                         adhesion
        adi                            keep
        adiaŭ                          adieu, farewell, bye, goodbye, good-bye
        adiaŭa                         goodbye-
        adiaŭi                         say goodbye, say goodbye to, take leave, take leave from
        adiaŭo                         farewell, goodbye, good-bye
        adicii                         add, add up
        adicio                         addition
        Adisabebo                      Addis Ababa
        adjektiva                      adjectival
        adjektivo                      adjective
        adjudiki                       invite tenders for, put out to tender
        adjunkto                       assistant
        adjutanto                      adjutant, aide-de-camp
        administra                     administrative
        administra aparato             machine of government
        administra jaro                financial year
        administra ofico               stewardship
        administracio                  administration, management
        administrado                   administration, management
        administraj kostoj             administrative expenses
        administrantaro                administration, management
        administranto                  manager
        administri                     administer, manage
        administristaro                administration, management
        administristo                  administrator
        administro                     administration, management
        admira                         admiring
        admiralitato                   admirality
        admiralo                       admiral
        Admiraltoj                     Admirality Islands
        admirantino                    admirer
        admiranto                      admirer
        admiri                         admire
        admirinda                      admirable
        admiro                         admiration
        admoni                         admonish, scold
        admonletero                    dunning-letter
        admono                         exhortation
        adoleskantino                  flapper
        adoleskanto                    adolescent
        adoleskeco                     puberty
        adoleskulino                   adolescent
        adoleskulo                     adolescent
        adolto                         adult
        adonido                        pheasant's eye
        Adono                          Adonis
        adoptado                       adoption
        adoptaj gepatroj               foster-parents
        adopti                         adopt
        adoptita                       adopted
        adoptito                       adoptive child
        adopto                         adoption
        adoptulo                       adoptive child
        adorado                        adoration, worship
        adorantino                     adorer, female adorer, worshipper, female worshipper
        adoranto                       worshipper
        adoratino                      adored one
        adori                          adore, worship
        adorinda                       adorable
        adoro                          adoration, worship
        adrenalino                     adrenaline
        adresanto                      shipper, sender
        adresaro                       address list
        adresato                       addressee
        adresi                         address
        adresiga maŝino                addressing machine, addressograph
        adresigilo                     addressing machine
        adresito                       addressee
        adreslibro                     directory
        adreso                         address
        adresŝanĝo                     change of address
        Adrianopolo                    Adrianople
        Adriatiko                      Adriatic, Adriatic Sea
        adstringa                      tart
        adstringilo                    adstringent
        adulta                         adulterous
        adulti                         commit adultery
        adulto                         adultery
        adultulino                     adulteress
        adultulo                       adulterer
        advento                        advent
        adverba                        adverbial
        adverbo                        adverb
        advokataĉo                     pettifogger, shyster
        advokato                       advocate, lawyer
        aera                           overground, overhead
        aera rezisto                   air-resistance
        aerdefenda artilerio           ack-ack, anti-aircraft guns
        aerdefendo                     air-defence, anti-aircraft defence, anti-aircraft defences
        aereskadro                     air squadron, air-squadron
        aerfiltrilo                    air-filter
        aerfloto                       air-fleet
        aerkavo                        air-pocket
        aerklapo                       air-valve
        aerklimatizita                 air-conditioned
        aerkuseno                      air cushion
        aerlinia piloto                airline pilot, airline-pilot
        aermalpurigo                   air-pollution
        aermalsana                     airsick
        aermalsano                     airsickness
        aermeĥanikisto                 flight engineer, flight mechanic
        aero                           air
        aerodromo                      airfield
        aerohaveno                     airport
        aerolito                       meteoric stone
        aeroplano                      plane, aeroplane, airplane
        aerostato                      balloon, air-balloon
        aerpafilo                      air gun, air-gun
        aerpirato                      skyjacker
        aerponto                       airlift
        aerpoŝta letero                air letter, aerogramme
        aerpoŝtmarko                   air-mail stamp
        aerpoŝto                       airmail
        aerpremo                       air-pressure
        aerstevardino                  stewardess
        aerŝipo                        air-ship
        aertubo                        tube
        aeruma                         airy
        aeruma krado                   air-grid
        aerumi                         air out, ventilate
        aervojo                        airway
        afabla                         affable, friendly, good-natured, kind
        afableco                       kindness
        afablega                       most charming
        afazio                         aphasia
        afekcii                        affect
        afekciita                      affected
        afekcio                        affection
        afekta                         affected, artificial
        afektado                       affectation
        afekte milda                   bland, sugary
        afektema                       affected
        afekti                         attitudinize, pose, put on airs
        afektita                       inflated
        afekto                         affectation
        afektulo                       attitudinizer, poseur
        aferkoncerneco                 relevance
        afero                          affair, business, business deal, case, matter
        afgana                         Afghan
        afganino                       Afghan woman
        Afganio                        Afghanistan
        Afganlando                     Afghanistan
        afgano                         Afghan
        Afganujo                       Afghanistan
        afikso                         affix
        afineco                        affinity
        afiŝi                          placard, post, post up
        afiŝkolono                     advertising pillar
        afiŝo                          notice, placard, poster
        afiŝtabulo                     bill-board, notice-board
        afliktado                      affliction, ordeal, trial
        aflikti                        afflict, grieve
        afliktiĝo                      sadness
        afliktita                      sad
        aflikto                        affliction
        aforismo                       aphorism
        afranki                        prepay, put on stamps
        afrankita                      post-paid, stamped
        afranko                        postage
        afranktarifo                   postal rates
        afrika                         African
        afrikano                       African
        afrikansa                      Afrikaans
        afrikansa lingvo               Afrikaans, Afrikaans language
        afrikanso                      Afrikaner, Afrikander
        afrikazia                      Afro-Asian
        Afriko                         Africa
        Afrodito                       Aphrodite
        afrodiziigaĵo                  aphrodisiac
        afusto                         carriage, gun-carriage
        agaca                          tart
        agado                          action, activity
        Agamemno                       Agamemnon
        agapo                          agape
        agaragaro                      agar, agar-agar
        agariko                        mushroom
        agato                          agate
        agavo                          agave
        agema                          active
        agemo                          activity
        agendo                         agenda, appointment book
        agenteco                       agency
        agentejo                       agency
        agento                         agent
        agenturo                       agency
        agi                            act
        agi laŭ                        follow, observe
        agita                          inflammatory
        agitado                        commotion
        agitanto                       activist
        agitgrupo                      action committee, action group
        agiti                          abet, agitate, incite, stir up
        agitiĝo                        commotion
        agitkomisiono                  action committee, action group
        agito                          agitation, commotion, disturbance, excitement, flutter, turmoil
        agla nazo                      aquiline nose
        agleca nazo                    aquiline nose
        aglibero                       elbow-room
        aglido                         eaglet
        aglo                           eagle
        aglomeraĵo                     agglomerate
        agnoski                        acknowledge, recognize
        agnosko                        acknowledgement
        ago                            act, action
        agonii                         be near death
        agonio                         agony, death throes
        agorafobio                     agoraphobia
        agordi                         tune
        agordiĝemo                     manageability, tractability
        agordo                         agreement
        agrabla                        agreeable, enjoyable, lovely, nice, pleasant
        agrable                        agreeably, comfortably, pleasantly
        agrableco                      pleasantness
        agrafa fermilo                 hooks and eyes
        agrafi                         clasp
        agrafo                         clasp, hook
        agrara                         agricultural, farm
        agregato                       aggregate
        agresa                         aggresive
        agresema                       aggressive
        agresi                         commit aggression
        agresiva                       aggressive
        agreso                         aggression
        agrikultura ekspozicio         agricultural exhibition
        agrikultura instruado          agricultural instruction
        agrikultura lernejo            agricultural school
        agrikultura produktaĵo         agricultural product
        agrikulturista ligo            farmers' union
        agrikulturisto                 agrarian
        agrikulturo                    agriculture, farming, tillage
        agro                           field
        agrokulturisto                 farmer
        agrokulturo                    agriculture
        agronomia                      agricultural
        agronomio                      agriculture
        agronomo                       agriculturist
        agropiro                       couch-grass
        agrostemo                      corn cockle
        aĝa                            aged
        Aĝario                         Adzharia
        aĝio                           premium
        aĝo                            age
        aha                            aha
        aĥ                             ah, oh, ow
        Aĥajo                          Achaea, Achaia
        Aĥeno                          Aix-la-Chapelle
        Aĥerono                        Acheron
        aidozo                         aids
        aj                             ouch, ow
        Ajaco                          Ajax
        ajlero                         garlic bulb
        ajlo                           garlic
        ajn                            at all, -ever
        Ajro                           Ayr
        aĵo                            thing
        aĵoj                           stuff, things
        aĵura                          open-work
        akacio                         acacia
        akademia                       academic
        akademiano                     academician
        akademio                       academy
        akajunukso                     cashew-nut
        akanto                         acanthus
        akapari                        corner, monopolize
        akaro                          mite
        akcelanta                      accelerative
        akcelanto                      promotor
        akceli                         accelerate, speed up
        akceliĝi                       accelerate, pick up
        akceliĝo                       acceleration
        akcelilo                       accelerator, accelerator pedal
        akcelo                         acceleration
        akcenti                        accent, accentuate, stress
        akcento                        accent, stress
        akcentsigno                    stress-mark
        akceptanto                     acceptor
        akceptebla                     acceptable
        akcepti                        accept, receive, take, take in
        akcepti oficiale               do the honours
        akcepti solene                 welcome
        akcepti vizitantojn            entertain, receive
        akceptigi                      force
        akceptigi obstine              drive through
        akceptinda                     acceptable
        akceptindeco                   susceptibility
        akceptistino                   receptionist
        akceptita                      accepted
        akcepto                        acceptance
        akceptosalono                  reception room, reception-room
        akceptpoŝtĝirilo               giro payment slip
        akceptsalono                   reception room, reception-room
        akcesora                       accessory, secondary
        akcesora fako                  subsidiary subject
        akcesora tono                  overtone
        akcesoraĵo                     accessory, side-issue
        akcesoraĵoj                    accessories
        akciaro                        share-capital
        akcidentema                    accident-prone
        akcidenti                      have an accident
        akcidento                      accident
        akcidentrisko                  accident risk
        akcio                          share
        akcio de navigacia kompanio    shipping share
        akcipitro                      hawk
        akciuleco                      shareholdership
        akciulo                        shareholder
        akcizo                         excise, excise-duty
        Akeno                          Aix-la-Chapelle
        akeo                           ai, sloth
        Akerono                        Acheron
        akilkalkano                    Achilles' heel
        Akilo                          Achilles
        akiltendeno                    Achilles' tendon
        akirado                        acquisition
        akiraĵo                        accession, acquisition, gain
        akirebla                       obtainable
        akiri                          acquire, attain, get, obtain
        akiri pene                     reclaim
        akiro                          accession, acquisition, asset
        aklamado                       acclamation
        aklame                         by acclamation
        aklami                         acclaim, applaud
        aklamo                         acclaim, acclamation, approval
        aklimatizi                     acclimatize
        akno                           pimple
        akolito                        acolyte
        akomodi                        accomodate
        akomodiĝo                      accommodation
        akomodo                        accommodation
        akompanado                     accompaniment
        akompanantaro                  suite, train
        akompanantino                  chaperon, duenna
        akompananto                    accompanist, companian
        akompani                       accompany
        akompani varte                 chaperon, squire
        akompano                       accompaniment, escort
        akonito                        aconite, monkshood
        akorda kun                     in accordance with
        akordi                         agree
        akordigi                       bring into agreement
        akordiĝema                     manageable, tractable
        akordiĝi                       come to an agreement
        akordionisto                   accordionist
        akordiono                      accordion
        akordo                         accord, agreement, chord, settlement
        akoro                          calamus
        akra                           abrasive, lurid, sharp
        akra tono                      tartness
        akraflanka                     angular, sharp-edged
        akratona                       abrasive, sharp-toned, shrill, snappy, tard
        akreco                         sharpness
        akreditaĵo                     credential
        akrediti                       accredit
        akreditivo                     letter of credit
        akreo                          acre
        akresona                       shrill
        akrido                         grasshopper, locust
        akrigi                         sharpen
        akrigrimeno                    strop
        akro                           acre
        akrobata                       acrobatic
        akrobatado                     acrobatics
        akrobato                       acrobat
        akromatopsia                   colour-blind
        akronimo                       acronym
        Akropolo                       Acropolis
        akrulino                       cat
        akselo                         armpit
        aksesoraĵo                     accessorie
        aksingo                        hub, nave
        aksiomo                        axiom
        akso                           axis, axle
        aktia                          of Actium
        aktinio                        actinium
        Aktio                          Actium
        aktisto                        actuary
        aktiva                         active
        aktiva voĉo                    active voice
        aktiveco                       activity, vigour
        aktivigi                       put on, start, switch on, turn on
        aktivo                         assets
        aktivoj                        assets
        akto                           act, certificate, diploma, document
        akto[1]                        act
        akto[2]                        certificate, diploma, document
        aktori                         act
        aktorino                       actress
        aktoro                         actor
        aktuala                        current, present, present-day, topical, up-to-date
        aktualaĵo                      topic
        aktualeco                      topicality
        aktuario                       actuary
        aktujo                         brief case, portfolio
        akumulatoro                    accumulator, battery, storage battery
        akumuli                        accumulate, heap, pile up, stack
        akumulilo                      accumulator, battery, storage battery
        akupunkturisto                 acupuncturist
        akupunkturo                    acupuncture
        akurata                        accurate, on time, prompt, punctual
        akurate                        exactly, sharp
        akurateco                      accuracy, exactitude, precision
        akustika                       acoustic
        akustika ujo                   resonance-box
        akustiko                       acoustics
        akuŝi                          give birth, labour, be in labour
        akuŝintino                     lying-in woman
        akuŝistino                     midwife
        akuŝlito                       childbed
        akuŝoĉambro                    lying-in room
        akuta                          acute
        akuza                          accusatory
        akuzaĵo                        accusation, charge, complaint, indictment
        akuzanto                       accuser
        akuzativo                      accusative
        akuzi                          accuse
        akuzi pri                      accuse of, charge with, impeach of, indict for, tax with
        akuzito                        accused, defendant
        akuzo                          accusation
        akva                           aquatic, water, water-, of water
        akvaforto                      etching
        akvamarino                     aquamarine
        akvarelo                       water-colour
        akvario                        aquarium
        akvedukto                      aqueduct
        akvero                         drop, drop of water
        akvilegio                      columbine
        akvo-                          aquatic, water-
        akvobubalo                     water buffalo, water-buffalo
        akvofalo                       waterfall
        akvokloŝo                      diving-bell
        akvokreso                      watercress
        akvolilio                      waterlily
        akvomelono                     water-melon
        akvonecesejo                   water-closet
        akvoriĉa                       abounding in water
        akvovaporo                     vapour
        akvumado                       watering
        akvumi                         irrigate, water
        akvumilo                       watering-can
        al                             at, to, toward, towards
        al ci                          you, to you
        al ili                         them, to them
        al la                          the, to the
        al mi                          me, to me
        al ni                          us, to us
        al vi                          you, to you
        Alabamo                        Alabama, Alabama River
        alabastra                      alabaster
        alabastro                      alabaster
        Alaho                          Allah
        Alandinsuloj                   Aalands Islands
        alaranĝi                       adapt, adjust
        alarma                         alarming
        alarmbremso                    communication-cord
        alarmi                         alarm
        alarmilo                       alarm
        alarmo                         alarm
        alarmsignalo                   alarm, alarm-signal
        alarmsonorilo                  alarm-bell
        Alasko                         Alaska
        alaŭdo                         lark
        albana                         Albanian
        albana lingvo                  Albanian, Albanian language
        albanino                       Albanian woman
        Albanio                        Albania
        albano                         Albanian
        Albanujo                       Albania
        albatroso                      albatross
        Albertlago                     Lake Albert
        albino                         albino
        Albiono                        Albion
        albo                           alb
        albordiĝa haveno               port of call
        albordiĝejo                    landing-stage, pier
        albordiĝi                      land
        albumo                         album
        alcedo                         halcyon, kingfisher
        alceli                         chase, hunt after, hunt for, pursue
        alciono                        halcyon, kingfisher
        alĉemilo                       lady's mantle
        aldehido                       aldehyde
        Aldernejo                      Alderney
        aldo                           contralto, contralto voice
        aldone                         in addition
        aldoni                         add
        aldoni akvon al                dilute, weaken
        aldonita                       accompanying
        aldono                         appendix, codicil, rider
        aldonvalora imposto            VAT
        aldulino                       alto, contralto
        Aleganoj                       Alleghanys
        alegoria                       allegoric
        alegorio                       allegory
        aleksandra verso               alexandrine
        Aleksandrio                    Alexandria
        Aleksandro                     Alexander
        aleo                           avenue
        Alepo                          Aleppo
        alergia                        allergic
        alergio                        allergy
        alero                          penthouse, shed
        alesti                         be present
        Aleŭtoj                        Aleutian Islands
        alfabeta                       alphabetical
        alfabeto                       alphabet
        alfabetumo                     ABC book
        alfao                          alpha
        alfiksi                        affix, attach
        alfikso                        attachment
        alflugdirekto                  approach path, approach route
        alflugi                        approach, fly
        alflui                         come flocking in, flow towards, rush towards, stream towards
        alfluo                         high tide
        Alfredo                        Alfred
        alfronti                       confront, face
        alfundigi                      deposit
        alfundiĝi                      sink
        algebra                        algebraic
        algebro                        algebra
        alglui                         paste, paste up, placard, post, post up
        algluiĝema                     sticky
        algluiĝi                       stick
        algo                           alga, seaweed
        algoritmo                      algorithm
        alĝeria                        Algerian
        alĝerianino                    Algerian woman
        alĝeriano                      Algerian
        Alĝerio                        Algeria
        Alĝero                         Algiers
        alĝustigi                      adjust, put right
        alĝustigo                      adjustment
        alĥemiisto                     alchemist
        alĥemio                        alchemy
        alia                           other, another, else
        alianco                        alliance
        alibio                         alibi
        Alicao                         Alice
        alie                           differently, else
        alies                          another man's, other people's
        aliflanke                      on the other hand
        aliformigi                     transform
        aliformigo                     recreation, refashioning, regeneration, transformation
        aliformiĝo                     metamorphosis, transformation
        aligatoro                      alligator
        aliĝi                          join
        aliĝo                          accession
        aliigi                         alter, change, turn
        aliiĝi                         alter, change
        alilandano                     alien, foreigner
        alilande                       abroad
        aliloke                        elsewhere
        aliloken                       elsewhere
        alimaniere                     differently
        alimento                       alimony
        alinei                         indent
        alineo                         paragraph
        alinome                        alias, otherwise, otherwise called
        alinomita                      differently named
        alinomite                      alias, otherwise, otherwise called
        alirebla                       accessible
        aliri                          advance, approach, come on
        alirvojo                       access road
        alitempe                       another time
        aliteracio                     alliteration
        aliulo                         another, another man
        aljuĝado                       tender
        aljungi                        put
        alkala                         alkaline
        alkaleca                       alkaline
        alkalo                         alkali
        alkemilo                       lady's mantle
        alklimatiĝi                    acclimate, acclimatize
        alklimatiĝo                    acclimatization
        alko                           elk, moose
        alkohola                       alcoholic
        alkoholaĵmaniulo               alcoholic
        alkoholaĵo                     alcohol, booze, liquor, spirits, strong drink
        alkoholaĵoj                    alcoholic drinks
        alkoholentenanta               alcoholic
        alkoholismo                    alcoholism
        alkoholisto                    alcoholic
        alkoholo                       alcohol
        alkoholtitro                   alcoholic content
        alkoholulo                     alcoholic
        alkonformigo                   accommodation
        alkonformiĝemo                 adaptability
        alkonformiĝo                   accommodate oneself, adapt oneself
        alkonstrui                     add
        alkovo                         alcove, recess
        alkroĉi                        hitch on, hook on
        alkroĉiĝi                      cling to, get caught on
        alkroĉiĝi al                   board
        alkrustiĝi                     fur
        alkrustiĝo                     fur, scale
        alkudri                        sew, sew on
        alkuro                         crush
        alkutimaĵo                     habit, trick
        alkutimiĝi                     become accustomed
        alligi                         moor
        alligiteco                     attachment
        alloga                         attractive
        allogaĵo                       attraction
        allogeco                       attraction, attractiveness, charm
        allogi                         attract, draw
        almanako                       almanac
        almarŝi                        advance, march on
        almenaŭ                        at least
        almeti                         attach, put onto
        almezuri                       take one's measure for
        almozmonaĥo                    mendicant friar
        almozo                         alms
        almozordeno                    mendicant order
        almozpetado                    begging
        almozpetanto                   beggar
        almozpeti                      beg
        almozpetulo                    beggar
        almozulejo                     almshouse, workhouse
        almozulino                     beggar-woman
        almozulo                       beggar
        alna                           alder, alder-, of an alder
        alnaĝi                         be washed ashore
        alno                           alder
        aloino                         aloin
        alojo                          alloy
        aloligno                       eaglewood
        aloo                           aloe
        alosimila                      aloetic
        Alosto[1]                      Alost
        alosukeltiristo                aloe juice collector
        alosuko                        aloe juice
        alpako                         alpaca
        alpara                         at par
        alparolebla                    approachable, communicative, get-at-able
        alparoli                       address
        alpaŝi                         approach, deal with, tackle
        alpaŝi al                      approach
        alpaŝo                         approach
        alpherbejo                     alp, alpine pasture
        alpismo                        mountaineering
        alpisto                        Alpinist, climber, mountain climber, mountaineer
        alpkapro                       ibex
        alpo                           alp, mountain pasture
        Alpoj                          Alps
        alportado                      arrival, arrivals, supply
        alporti                        bring, fetch
        alpreĝi                        invoke
        alproksimigi                   bring close together
        alproksimiĝi                   advance, come close, come closer, come on
        alproksimiĝo                   approach
        alproprigi al si               abstract
        alsaca                         Alsatian
        alsacano                       Alsatian
        Alsaco                         Alsace, Elsass
        Alsaco-Loreno                  Alsace-Lorraine
        alŝovi                         push on, shove on
        alŝoviĝi                       draw up to the table, sit down to table
        alŝultrigi                     level
        alŝultriĝi                     aim, take aim
        alta                           high, lofty, tall
        Alta Kanto                     Canticles, Song of Solomon, Song of Songs
        altaro                         altar
        altartabulo                    altarpiece
        alteco                         height
        alten                          into the heights
        alteriĝi                       land
        alterna                        alternate, alternating
        alternado                      alternation
        alternativo                    alternative, option
        alterne                        alternately
        alterni                        alternate
        alterno                        alternation
        altiĝanta                      rising
        altira forto                   attraction
        altiri                         attract
        altklasulo                     someone of the upperclass
        altkreska                      tall
        altlernejo                     academy
        altmontarano                   Highlander
        alto                           altitude, height
        altpreza                       pricey
        altrudi                        force, impose upon
        altruisma                      altruistic
        altruismo                      altruism
        altstatura                     lanky, of high stature, tall
        aludi                          allude, hint
        aludi kalumnie                 insinuate
        aludo                          allusion
        alumeto                        match
        aluminio                       aluminium, aluminum
        alumino                        alum earth, alumina
        aluno                          alum
        aluvia                         alluvial
        aluvio                         alluvion, alluvium
        alveni                         arrive, get
        alveno                         arrival
        alveturejo                     access, approach, drive, sweep
        alveturi                       collide, run
        alveturigi                     bring, convey, supply
        Alvo                           Alva
